chrom	start	end	sample_name	value
chr1	3700000	3800000	GSM1023733	0.52
chr1	3800000	3900000	GSM1023733	0.33
chr1	3900000	4000000	GSM1023733	-0.31
chr1	4000000	4100000	GSM1023733	-1.04
chr1	4100000	4200000	GSM1023733	-0.83
chr1	4200000	4300000	GSM1023733	-0.78
chr1	4400000	4500000	GSM1023733	-0.81
chr1	4500000	4600000	GSM1023733	-0.79
chr1	4600000	4700000	GSM1023733	-0.61
chr1	4700000	4800000	GSM1023733	-0.75
chr1	4800000	4900000	GSM1023733	-0.59
chr1	4900000	5000000	GSM1023733	-0.85
chr1	5000000	5100000	GSM1023733	-0.64
chr1	5100000	5200000	GSM1023733	-0.59
chr1	5200000	5300000	GSM1023733	-0.79
chr1	5300000	5400000	GSM1023733	-0.74
chr1	5400000	5500000	GSM1023733	-0.78
chr1	5500000	5600000	GSM1023733	-0.44
chr1	5600000	5700000	GSM1023733	-0.63
chr1	5700000	5800000	GSM1023733	-0.92
chr1	5800000	5900000	GSM1023733	-0.34
chr1	5900000	6000000	GSM1023733	0.17
chr1	6000000	6100000	GSM1023733	0.79
chr1	6100000	6200000	GSM1023733	0.52
chr1	6200000	6300000	GSM1023733	1.23
chr1	6300000	6400000	GSM1023733	0.74
chr1	6400000	6500000	GSM1023733	1.66
chr1	6500000	6600000	GSM1023733	1.51
chr1	6600000	6700000	GSM1023733	1.35
chr1	6700000	6800000	GSM1023733	0.5
chr1	6800000	6900000	GSM1023733	0.47
chr1	6900000	7000000	GSM1023733	0.45
chr1	7000000	7100000	GSM1023733	0.27
chr1	7100000	7200000	GSM1023733	0.33
chr1	7200000	7300000	GSM1023733	0.74
chr1	7300000	7400000	GSM1023733	0.32
chr1	7400000	7500000	GSM1023733	0.93
chr1	7500000	7600000	GSM1023733	0.05
chr1	7600000	7700000	GSM1023733	0.03
chr1	7700000	7800000	GSM1023733	0.44
chr1	7800000	7900000	GSM1023733	0.76
chr1	7900000	8000000	GSM1023733	0.74
chr1	8000000	8100000	GSM1023733	1.0
chr1	8100000	8200000	GSM1023733	0.97
chr1	8200000	8300000	GSM1023733	0.93
chr1	8300000	8400000	GSM1023733	1.16
chr1	8400000	8500000	GSM1023733	0.58
chr1	8500000	8600000	GSM1023733	0.6
chr1	8600000	8700000	GSM1023733	0.31
chr1	8700000	8800000	GSM1023733	0.35
chr1	8800000	8900000	GSM1023733	1.81
chr1	8900000	9000000	GSM1023733	1.1
chr1	9000000	9100000	GSM1023733	1.53
chr1	9200000	9300000	GSM1023733	0.85
chr1	9300000	9400000	GSM1023733	0.55
chr1	9400000	9500000	GSM1023733	1.29
chr1	9500000	9600000	GSM1023733	1.16
chr1	9600000	9700000	GSM1023733	1.06
chr1	9700000	9800000	GSM1023733	0.8
chr1	9800000	9900000	GSM1023733	1.29
chr1	600000	700000	GSM1023734	-0.06
chr1	800000	900000	GSM1023734	0.24
chr1	1100000	1200000	GSM1023734	1.61
chr1	1500000	1600000	GSM1023734	1.14
chr1	1800000	1900000	GSM1023734	1.86
chr1	1900000	2000000	GSM1023734	1.15
chr1	2000000	2100000	GSM1023734	1.75
chr1	2100000	2200000	GSM1023734	0.66
chr1	2300000	2400000	GSM1023734	0.93
chr1	2900000	3000000	GSM1023734	-0.32
chr1	3000000	3100000	GSM1023734	-0.21
chr1	3200000	3300000	GSM1023734	-0.43
chr1	3300000	3400000	GSM1023734	0.08
chr1	3400000	3500000	GSM1023734	0.14
chr1	3500000	3600000	GSM1023734	0.79
chr1	3600000	3700000	GSM1023734	0.66
chr1	3700000	3800000	GSM1023734	0.59
chr1	3800000	3900000	GSM1023734	0.1
chr1	3900000	4000000	GSM1023734	-0.57
chr1	4000000	4100000	GSM1023734	-1.03
chr1	4100000	4200000	GSM1023734	-0.39
chr1	4200000	4300000	GSM1023734	-0.85
chr1	4400000	4500000	GSM1023734	-1.11
chr1	4500000	4600000	GSM1023734	-0.81
chr1	4600000	4700000	GSM1023734	-1.02
chr1	4700000	4800000	GSM1023734	-0.61
chr1	4800000	4900000	GSM1023734	-0.95
chr1	4900000	5000000	GSM1023734	-1.19
chr1	5000000	5100000	GSM1023734	-0.71
chr1	5100000	5200000	GSM1023734	-0.84
chr1	5200000	5300000	GSM1023734	-0.79
chr1	5300000	5400000	GSM1023734	-0.58
chr1	5400000	5500000	GSM1023734	-0.74
chr1	5500000	5600000	GSM1023734	-0.64
chr1	5600000	5700000	GSM1023734	-0.8
chr1	5700000	5800000	GSM1023734	-0.93
chr1	5800000	5900000	GSM1023734	-0.92
chr1	5900000	6000000	GSM1023734	-0.42
chr1	6000000	6100000	GSM1023734	-0.15
chr1	6100000	6200000	GSM1023734	0.47
chr1	6200000	6300000	GSM1023734	1.06
chr1	6500000	6600000	GSM1023734	1.05
chr1	6600000	6700000	GSM1023734	0.83
chr1	6700000	6800000	GSM1023734	0.57
chr1	6800000	6900000	GSM1023734	0.2
chr1	6900000	7000000	GSM1023734	0.53
chr1	7000000	7100000	GSM1023734	0.36
chr1	7100000	7200000	GSM1023734	-0.24
chr1	7200000	7300000	GSM1023734	0.28
chr1	7300000	7400000	GSM1023734	0.11
chr1	7400000	7500000	GSM1023734	0.19
chr1	7500000	7600000	GSM1023734	0.33
chr1	7700000	7800000	GSM1023734	0.01
chr1	7800000	7900000	GSM1023734	0.33
chr1	7900000	8000000	GSM1023734	0.74
chr1	8000000	8100000	GSM1023734	0.53
chr1	8100000	8200000	GSM1023734	1.48
chr1	8200000	8300000	GSM1023734	0.74
chr1	8300000	8400000	GSM1023734	0.92
chr1	8400000	8500000	GSM1023734	0.1
chr1	8500000	8600000	GSM1023734	0.51
chr1	8600000	8700000	GSM1023734	0.54
chr1	8700000	8800000	GSM1023734	0.25
chr1	8800000	8900000	GSM1023734	1.18
chr1	8900000	9000000	GSM1023734	0.61
chr1	9000000	9100000	GSM1023734	0.72
chr1	9200000	9300000	GSM1023734	0.84
chr1	9300000	9400000	GSM1023734	0.78
chr1	9400000	9500000	GSM1023734	1.7
chr1	9500000	9600000	GSM1023734	0.89
chr1	9600000	9700000	GSM1023734	0.77
chr1	9700000	9800000	GSM1023734	0.83
chr1	9800000	9900000	GSM1023734	1.13
chr1	600000	700000	GSM1023735	0.03
chr1	800000	900000	GSM1023735	0.12
chr1	1100000	1200000	GSM1023735	0.16
chr1	1500000	1600000	GSM1023735	0.08
chr1	1800000	1900000	GSM1023735	0.04
chr1	1900000	2000000	GSM1023735	0.08
chr1	2000000	2100000	GSM1023735	0.16
chr1	2100000	2200000	GSM1023735	0.15
chr1	2300000	2400000	GSM1023735	0.07
chr1	2800000	2900000	GSM1023735	0.25
chr1	2900000	3000000	GSM1023735	0.02
chr1	3000000	3100000	GSM1023735	0.31
chr1	3200000	3300000	GSM1023735	0.17
chr1	3300000	3400000	GSM1023735	0.1
chr1	3400000	3500000	GSM1023735	0.23
chr1	3500000	3600000	GSM1023735	0.31
chr1	3700000	3800000	GSM1023735	0.05
chr1	3800000	3900000	GSM1023735	0.18
chr1	3900000	4000000	GSM1023735	0.2
chr1	4000000	4100000	GSM1023735	0.14
chr1	4100000	4200000	GSM1023735	0.02
chr1	4200000	4300000	GSM1023735	0.16
chr1	4400000	4500000	GSM1023735	0.03
chr1	4500000	4600000	GSM1023735	0.19
chr1	4600000	4700000	GSM1023735	0.3
chr1	4700000	4800000	GSM1023735	0.46
chr1	4800000	4900000	GSM1023735	0.16
chr1	4900000	5000000	GSM1023735	0.22
chr1	5000000	5100000	GSM1023735	0.18
chr1	5100000	5200000	GSM1023735	0.18
chr1	5200000	5300000	GSM1023735	-0.0
chr1	5300000	5400000	GSM1023735	0.25
chr1	5400000	5500000	GSM1023735	0.43
chr1	5500000	5600000	GSM1023735	0.16
chr1	5600000	5700000	GSM1023735	0.22
chr1	5700000	5800000	GSM1023735	0.15
chr1	5800000	5900000	GSM1023735	0.34
chr1	5900000	6000000	GSM1023735	0.09
chr1	6000000	6100000	GSM1023735	0.19
chr1	6100000	6200000	GSM1023735	-0.0
chr1	6200000	6300000	GSM1023735	0.52
chr1	6500000	6600000	GSM1023735	0.07
chr1	6600000	6700000	GSM1023735	0.15
chr1	6700000	6800000	GSM1023735	0.08
chr1	6800000	6900000	GSM1023735	0.09
chr1	6900000	7000000	GSM1023735	0.35
chr1	7000000	7100000	GSM1023735	0.14
chr1	7100000	7200000	GSM1023735	0.2
chr1	7200000	7300000	GSM1023735	0.21
chr1	7300000	7400000	GSM1023735	0.15
chr1	7400000	7500000	GSM1023735	0.21
chr1	7500000	7600000	GSM1023735	0.17
chr1	7600000	7700000	GSM1023735	0.17
chr1	7700000	7800000	GSM1023735	0.07
chr1	7800000	7900000	GSM1023735	0.15
chr1	7900000	8000000	GSM1023735	0.26
chr1	8000000	8100000	GSM1023735	0.14
chr1	8100000	8200000	GSM1023735	-0.76
chr1	8200000	8300000	GSM1023735	0.37
chr1	8300000	8400000	GSM1023735	0.13
chr1	8400000	8500000	GSM1023735	0.05
chr1	8500000	8600000	GSM1023735	0.1
chr1	8600000	8700000	GSM1023735	0.02
chr1	8700000	8800000	GSM1023735	0.0
chr1	8800000	8900000	GSM1023735	0.23
chr1	8900000	9000000	GSM1023735	0.15
chr1	9000000	9100000	GSM1023735	0.18
chr1	9200000	9300000	GSM1023735	0.27
chr1	9300000	9400000	GSM1023735	0.2
chr1	9400000	9500000	GSM1023735	0.07
chr1	9500000	9600000	GSM1023735	0.02
chr1	9600000	9700000	GSM1023735	0.1
chr1	9700000	9800000	GSM1023735	0.02
chr1	9800000	9900000	GSM1023735	0.13
chr1	600000	700000	GSM1267196	-0.24
chr1	1800000	1900000	GSM1267196	1.88
chr1	3800000	3900000	GSM1267196	0.94
chr1	3900000	4000000	GSM1267196	0.55
chr1	4000000	4100000	GSM1267196	0.56
chr1	4100000	4200000	GSM1267196	0.49
chr1	4200000	4300000	GSM1267196	0.37
chr1	4400000	4500000	GSM1267196	0.38
chr1	4500000	4600000	GSM1267196	0.32
chr1	4600000	4700000	GSM1267196	0.26
chr1	4700000	4800000	GSM1267196	0.34
chr1	4800000	4900000	GSM1267196	0.38
chr1	4900000	5000000	GSM1267196	0.37
chr1	5000000	5100000	GSM1267196	0.27
chr1	5100000	5200000	GSM1267196	0.28
chr1	5200000	5300000	GSM1267196	0.28
chr1	5300000	5400000	GSM1267196	0.23
chr1	5400000	5500000	GSM1267196	0.33
chr1	5500000	5600000	GSM1267196	0.32
chr1	5600000	5700000	GSM1267196	0.48
chr1	5700000	5800000	GSM1267196	0.57
chr1	5800000	5900000	GSM1267196	0.41
chr1	5900000	6000000	GSM1267196	0.78
chr1	6000000	6100000	GSM1267196	1.04
chr1	6100000	6200000	GSM1267196	1.54
chr1	6600000	6700000	GSM1267196	0.99
chr1	6700000	6800000	GSM1267196	1.14
chr1	6800000	6900000	GSM1267196	0.96
chr1	6900000	7000000	GSM1267196	0.53
chr1	7000000	7100000	GSM1267196	0.53
chr1	7100000	7200000	GSM1267196	0.55
chr1	7200000	7300000	GSM1267196	0.63
chr1	7300000	7400000	GSM1267196	0.59
chr1	7400000	7500000	GSM1267196	0.75
chr1	7500000	7600000	GSM1267196	0.52
chr1	7700000	7800000	GSM1267196	0.73
chr1	7800000	7900000	GSM1267196	0.62
chr1	7900000	8000000	GSM1267196	0.58
chr1	8000000	8100000	GSM1267196	0.63
chr1	8100000	8200000	GSM1267196	0.95
chr1	8200000	8300000	GSM1267196	0.53
chr1	8300000	8400000	GSM1267196	0.78
chr1	8400000	8500000	GSM1267196	0.76
chr1	8500000	8600000	GSM1267196	0.79
chr1	8600000	8700000	GSM1267196	0.86
chr1	8700000	8800000	GSM1267196	0.55
chr1	8800000	8900000	GSM1267196	0.86
chr1	9000000	9100000	GSM1267196	0.78
chr1	9200000	9300000	GSM1267196	0.53
chr1	9300000	9400000	GSM1267196	0.8
chr1	9400000	9500000	GSM1267196	0.98
chr1	9500000	9600000	GSM1267196	1.0
chr1	9600000	9700000	GSM1267196	1.02
chr1	9800000	9900000	GSM1267196	0.98
chr1	600000	700000	GSM1267197	-0.07
chr1	800000	900000	GSM1267197	0.88
chr1	1800000	1900000	GSM1267197	1.39
chr1	1900000	2000000	GSM1267197	1.14
chr1	2100000	2200000	GSM1267197	1.02
chr1	2300000	2400000	GSM1267197	0.9
chr1	3800000	3900000	GSM1267197	0.78
chr1	3900000	4000000	GSM1267197	0.6
chr1	4000000	4100000	GSM1267197	0.57
chr1	4100000	4200000	GSM1267197	0.35
chr1	4200000	4300000	GSM1267197	0.48
chr1	4400000	4500000	GSM1267197	0.41
chr1	4500000	4600000	GSM1267197	0.42
chr1	4600000	4700000	GSM1267197	0.35
chr1	4700000	4800000	GSM1267197	0.48
chr1	4800000	4900000	GSM1267197	0.42
chr1	4900000	5000000	GSM1267197	0.35
chr1	5000000	5100000	GSM1267197	0.31
chr1	5100000	5200000	GSM1267197	0.29
chr1	5200000	5300000	GSM1267197	0.35
chr1	5300000	5400000	GSM1267197	0.41
chr1	5400000	5500000	GSM1267197	0.17
chr1	5500000	5600000	GSM1267197	0.38
chr1	5600000	5700000	GSM1267197	0.38
chr1	5700000	5800000	GSM1267197	0.41
chr1	5800000	5900000	GSM1267197	0.62
chr1	5900000	6000000	GSM1267197	0.55
chr1	6000000	6100000	GSM1267197	0.7
chr1	6100000	6200000	GSM1267197	0.95
chr1	6200000	6300000	GSM1267197	0.87
chr1	6600000	6700000	GSM1267197	0.82
chr1	6700000	6800000	GSM1267197	0.69
chr1	6800000	6900000	GSM1267197	0.46
chr1	6900000	7000000	GSM1267197	0.55
chr1	7000000	7100000	GSM1267197	0.42
chr1	7100000	7200000	GSM1267197	0.45
chr1	7200000	7300000	GSM1267197	0.55
chr1	7300000	7400000	GSM1267197	0.5
chr1	7400000	7500000	GSM1267197	0.67
chr1	7500000	7600000	GSM1267197	0.54
chr1	7700000	7800000	GSM1267197	0.53
chr1	7800000	7900000	GSM1267197	0.52
chr1	7900000	8000000	GSM1267197	0.61
chr1	8000000	8100000	GSM1267197	0.44
chr1	8100000	8200000	GSM1267197	0.58
chr1	8200000	8300000	GSM1267197	0.71
chr1	8300000	8400000	GSM1267197	0.62
chr1	8400000	8500000	GSM1267197	0.56
chr1	8500000	8600000	GSM1267197	0.53
chr1	8600000	8700000	GSM1267197	0.59
chr1	8700000	8800000	GSM1267197	0.59
chr1	8800000	8900000	GSM1267197	0.6
chr1	8900000	9000000	GSM1267197	0.61
chr1	9000000	9100000	GSM1267197	0.67
chr1	9200000	9300000	GSM1267197	0.61
chr1	9300000	9400000	GSM1267197	0.71
chr1	9400000	9500000	GSM1267197	0.86
chr1	9500000	9600000	GSM1267197	0.87
chr1	9600000	9700000	GSM1267197	0.7
chr1	9700000	9800000	GSM1267197	0.66
chr1	9800000	9900000	GSM1267197	0.71
chr1	1900000	2000000	GSM1267198	1.38
chr1	2100000	2200000	GSM1267198	1.39
chr1	2300000	2400000	GSM1267198	1.21
chr1	3000000	3100000	GSM1267198	0.82
chr1	3300000	3400000	GSM1267198	0.98
chr1	3500000	3600000	GSM1267198	1.06
chr1	3700000	3800000	GSM1267198	0.92
chr1	3800000	3900000	GSM1267198	0.76
chr1	3900000	4000000	GSM1267198	0.37
chr1	4000000	4100000	GSM1267198	0.46
chr1	4100000	4200000	GSM1267198	0.41
chr1	4200000	4300000	GSM1267198	0.27
chr1	4400000	4500000	GSM1267198	0.26
chr1	4500000	4600000	GSM1267198	0.22
chr1	4600000	4700000	GSM1267198	0.43
chr1	4700000	4800000	GSM1267198	0.35
chr1	4800000	4900000	GSM1267198	0.27
chr1	4900000	5000000	GSM1267198	0.34
chr1	5000000	5100000	GSM1267198	0.2
chr1	5100000	5200000	GSM1267198	0.2
chr1	5200000	5300000	GSM1267198	0.24
chr1	5300000	5400000	GSM1267198	0.11
chr1	5400000	5500000	GSM1267198	0.26
chr1	5500000	5600000	GSM1267198	0.22
chr1	5600000	5700000	GSM1267198	0.28
chr1	5700000	5800000	GSM1267198	0.43
chr1	5800000	5900000	GSM1267198	0.39
chr1	5900000	6000000	GSM1267198	0.75
chr1	6000000	6100000	GSM1267198	0.81
chr1	6100000	6200000	GSM1267198	1.01
chr1	6200000	6300000	GSM1267198	1.25
chr1	6600000	6700000	GSM1267198	1.05
chr1	6700000	6800000	GSM1267198	0.87
chr1	6800000	6900000	GSM1267198	0.81
chr1	6900000	7000000	GSM1267198	0.75
chr1	7000000	7100000	GSM1267198	0.72
chr1	7100000	7200000	GSM1267198	0.61
chr1	7200000	7300000	GSM1267198	0.62
chr1	7300000	7400000	GSM1267198	0.65
chr1	7400000	7500000	GSM1267198	0.71
chr1	7500000	7600000	GSM1267198	0.73
chr1	7700000	7800000	GSM1267198	0.62
chr1	7800000	7900000	GSM1267198	0.79
chr1	7900000	8000000	GSM1267198	0.76
chr1	8000000	8100000	GSM1267198	0.69
chr1	8100000	8200000	GSM1267198	0.69
chr1	8200000	8300000	GSM1267198	0.73
chr1	8300000	8400000	GSM1267198	0.7
chr1	8400000	8500000	GSM1267198	0.7
chr1	8500000	8600000	GSM1267198	0.85
chr1	8600000	8700000	GSM1267198	0.67
chr1	8700000	8800000	GSM1267198	0.81
chr1	8800000	8900000	GSM1267198	0.91
chr1	9000000	9100000	GSM1267198	0.78
chr1	9200000	9300000	GSM1267198	0.88
chr1	9300000	9400000	GSM1267198	1.08
chr1	9400000	9500000	GSM1267198	0.94
chr1	9500000	9600000	GSM1267198	0.89
chr1	9600000	9700000	GSM1267198	1.01
chr1	9800000	9900000	GSM1267198	0.84
chr1	600000	700000	GSM1267199	-0.18
chr1	3300000	3400000	GSM1267199	1.52
chr1	3800000	3900000	GSM1267199	0.83
chr1	3900000	4000000	GSM1267199	0.2
chr1	4000000	4100000	GSM1267199	0.41
chr1	4100000	4200000	GSM1267199	0.43
chr1	4200000	4300000	GSM1267199	0.34
chr1	4400000	4500000	GSM1267199	0.24
chr1	4500000	4600000	GSM1267199	0.27
chr1	4600000	4700000	GSM1267199	0.18
chr1	4700000	4800000	GSM1267199	0.2
chr1	4800000	4900000	GSM1267199	0.24
chr1	4900000	5000000	GSM1267199	0.25
chr1	5000000	5100000	GSM1267199	0.39
chr1	5100000	5200000	GSM1267199	0.2
chr1	5200000	5300000	GSM1267199	0.06
chr1	5300000	5400000	GSM1267199	0.32
chr1	5400000	5500000	GSM1267199	0.33
chr1	5500000	5600000	GSM1267199	0.26
chr1	5600000	5700000	GSM1267199	0.24
chr1	5700000	5800000	GSM1267199	0.4
chr1	5800000	5900000	GSM1267199	0.24
chr1	5900000	6000000	GSM1267199	0.51
chr1	6000000	6100000	GSM1267199	1.15
chr1	6100000	6200000	GSM1267199	1.25
chr1	6600000	6700000	GSM1267199	1.01
chr1	6700000	6800000	GSM1267199	0.88
chr1	6800000	6900000	GSM1267199	0.7
chr1	6900000	7000000	GSM1267199	0.59
chr1	7000000	7100000	GSM1267199	0.64
chr1	7100000	7200000	GSM1267199	0.52
chr1	7200000	7300000	GSM1267199	0.41
chr1	7300000	7400000	GSM1267199	0.62
chr1	7400000	7500000	GSM1267199	0.65
chr1	7500000	7600000	GSM1267199	0.56
chr1	7700000	7800000	GSM1267199	0.58
chr1	7800000	7900000	GSM1267199	0.9
chr1	7900000	8000000	GSM1267199	0.81
chr1	8000000	8100000	GSM1267199	0.83
chr1	8100000	8200000	GSM1267199	0.94
chr1	8200000	8300000	GSM1267199	0.85
chr1	8300000	8400000	GSM1267199	0.63
chr1	8400000	8500000	GSM1267199	0.93
chr1	8500000	8600000	GSM1267199	1.09
chr1	8600000	8700000	GSM1267199	1.0
chr1	8700000	8800000	GSM1267199	0.97
chr1	8800000	8900000	GSM1267199	0.96
chr1	9000000	9100000	GSM1267199	0.76
chr1	9200000	9300000	GSM1267199	0.85
chr1	9300000	9400000	GSM1267199	1.1
chr1	9400000	9500000	GSM1267199	1.06
chr1	9500000	9600000	GSM1267199	0.92
chr1	9600000	9700000	GSM1267199	1.08
chr1	9800000	9900000	GSM1267199	0.91
chr1	1900000	2000000	GSM1267200	0.96
chr1	2100000	2200000	GSM1267200	0.45
chr1	2300000	2400000	GSM1267200	0.5
chr1	2900000	3000000	GSM1267200	-1.05
chr1	3000000	3100000	GSM1267200	-1.17
chr1	3300000	3400000	GSM1267200	-0.77
chr1	3400000	3500000	GSM1267200	-0.42
chr1	3500000	3600000	GSM1267200	-0.61
chr1	3600000	3700000	GSM1267200	-0.31
chr1	3700000	3800000	GSM1267200	-0.19
chr1	3800000	3900000	GSM1267200	-0.32
chr1	3900000	4000000	GSM1267200	-0.85
chr1	4000000	4100000	GSM1267200	-1.16
chr1	4100000	4200000	GSM1267200	-1.14
chr1	4200000	4300000	GSM1267200	-1.15
chr1	4400000	4500000	GSM1267200	-1.01
chr1	4500000	4600000	GSM1267200	-1.0
chr1	4600000	4700000	GSM1267200	-0.89
chr1	4700000	4800000	GSM1267200	-0.92
chr1	4800000	4900000	GSM1267200	-1.02
chr1	4900000	5000000	GSM1267200	-1.07
chr1	5000000	5100000	GSM1267200	-1.15
chr1	5100000	5200000	GSM1267200	-1.06
chr1	5200000	5300000	GSM1267200	-1.12
chr1	5300000	5400000	GSM1267200	-0.94
chr1	5400000	5500000	GSM1267200	-0.93
chr1	5500000	5600000	GSM1267200	-1.01
chr1	5600000	5700000	GSM1267200	-1.06
chr1	5700000	5800000	GSM1267200	-0.89
chr1	5800000	5900000	GSM1267200	-0.78
chr1	5900000	6000000	GSM1267200	-0.56
chr1	6000000	6100000	GSM1267200	-0.46
chr1	6100000	6200000	GSM1267200	-0.32
chr1	6200000	6300000	GSM1267200	0.32
chr1	6600000	6700000	GSM1267200	0.92
chr1	6700000	6800000	GSM1267200	0.35
chr1	6800000	6900000	GSM1267200	0.25
chr1	6900000	7000000	GSM1267200	-0.06
chr1	7000000	7100000	GSM1267200	-0.08
chr1	7100000	7200000	GSM1267200	-0.14
chr1	7200000	7300000	GSM1267200	0.25
chr1	7300000	7400000	GSM1267200	0.17
chr1	7400000	7500000	GSM1267200	0.28
chr1	7500000	7600000	GSM1267200	0.06
chr1	7700000	7800000	GSM1267200	0.31
chr1	7800000	7900000	GSM1267200	0.81
chr1	7900000	8000000	GSM1267200	0.66
chr1	8000000	8100000	GSM1267200	0.97
chr1	8100000	8200000	GSM1267200	1.15
chr1	8200000	8300000	GSM1267200	1.02
chr1	8300000	8400000	GSM1267200	0.68
chr1	8400000	8500000	GSM1267200	0.84
chr1	8500000	8600000	GSM1267200	0.95
chr1	8600000	8700000	GSM1267200	1.0
chr1	8700000	8800000	GSM1267200	0.98
chr1	8800000	8900000	GSM1267200	0.99
chr1	9000000	9100000	GSM1267200	1.11
chr1	9200000	9300000	GSM1267200	1.31
chr1	9300000	9400000	GSM1267200	1.28
chr1	9500000	9600000	GSM1267200	1.09
chr1	9600000	9700000	GSM1267200	0.87
chr1	9800000	9900000	GSM1267200	0.98
chr1	1900000	2000000	GSM1267201	0.99
chr1	2100000	2200000	GSM1267201	0.52
chr1	2300000	2400000	GSM1267201	0.71
chr1	2900000	3000000	GSM1267201	-1.12
chr1	3000000	3100000	GSM1267201	-0.89
chr1	3200000	3300000	GSM1267201	-0.87
chr1	3300000	3400000	GSM1267201	-0.63
chr1	3400000	3500000	GSM1267201	-0.36
chr1	3500000	3600000	GSM1267201	-0.57
chr1	3600000	3700000	GSM1267201	-0.49
chr1	3700000	3800000	GSM1267201	-0.26
chr1	3800000	3900000	GSM1267201	-0.35
chr1	3900000	4000000	GSM1267201	-0.87
