chrom1	start1	end1	chrom2	start2	end2	sample_name	counts	gene_anno_1	gene_anno_2
chr12	89040000	89050000	chr12	89460000	89470000	GSM1267200	35	NA	NA
chr13	43900000	43910000	chr13	44440000	44450000	GSM1267200	22	LINC00284	NA
chr14	96140000	96150000	chr14	96270000	96280000	GSM1267200	46	NA	AL355102.3,AL355102.4
chr14	54170000	54180000	chr14	54330000	54340000	GSM1267200	41	NA	NA
chr14	57480000	57490000	chr14	58070000	58080000	GSM1267200	29	NA	NA
chr15	55650000	55660000	chr15	55800000	55810000	GSM1267200	22	NA	NA
chr16	72240000	72250000	chr16	72460000	72470000	GSM1267200	46	NA	NA
chr17	57850000	57860000	chr17	57990000	58000000	GSM1267200	30	MRPS23	AC015813.1,AC015813.7,VEZF1
chr18	9970000	9980000	chr18	10510000	10520000	GSM1267200	44	NA	NA
chr2	47850000	47860000	chr2	48100000	48110000	GSM1267200	24	NA	NA
chr2	165400000	165410000	chr2	165690000	165700000	GSM1267200	52	NA	NA
chr2	170400000	170410000	chr2	170800000	170810000	GSM1267200	42	AC012594.1	NA
chr2	177160000	177170000	chr2	177410000	177420000	GSM1267200	21	AC074286.1	NA
chr20	5550000	5560000	chr20	5790000	5800000	GSM1267200	36	EIF4EP1	NA
chr3	111570000	111580000	chr3	111690000	111700000	GSM1267200	42	AC092916.2	NA
chr3	69690000	69700000	chr3	69940000	69950000	GSM1267200	25	NA	NA
chr3	111710000	111720000	chr3	111960000	111970000	GSM1267200	76	NA	NA
chr3	152180000	152190000	chr3	152440000	152450000	GSM1267200	44	NA	RF00019
chr4	122750000	122760000	chr4	122910000	122920000	GSM1267200	24	NA	NA
chr5	73570000	73580000	chr5	73780000	73790000	GSM1267200	24	NA	AC091868.2
chr5	122180000	122190000	chr5	122400000	122410000	GSM1267200	54	NA	NA
chr6	47090000	47100000	chr6	47300000	47310000	GSM1267200	28	NA	TNFRSF21
chr6	56350000	56360000	chr6	56590000	56600000	GSM1267200	45	NA	NA
chr6	83220000	83230000	chr6	83510000	83520000	GSM1267200	32	NA	PRSS35
chr6	154920000	154930000	chr6	155170000	155180000	GSM1267200	58	NA	NA
chr7	28920000	28930000	chr7	29100000	29110000	GSM1267200	33	NA	NA
chr7	39580000	39590000	chr7	39740000	39750000	GSM1267200	30	NA	NA
chr7	61800000	61810000	chr7	62210000	62220000	GSM1267200	30	NA	NA
chr8	132870000	132880000	chr8	133200000	133210000	GSM1267200	21	NA	NA
chr8	17720000	17730000	chr8	17910000	17920000	GSM1267200	41	NA	FGL1
chr8	20220000	20230000	chr8	20370000	20380000	GSM1267200	51	RNU6-892P	NA
chr8	24240000	24250000	chr8	24410000	24420000	GSM1267200	45	NA	NA
chr8	38830000	38840000	chr8	38960000	38970000	GSM1267200	59	NA	NA
chr9	27030000	27040000	chr9	27270000	27280000	GSM1267200	24	NA	NA
chr9	69970000	69980000	chr9	70370000	70380000	GSM1267200	13	NA	NA
chr1	42910000	42920000	chr1	43070000	43080000	GSM1267201	24	NA	NA
chr1	86370000	86380000	chr1	86500000	86510000	GSM1267201	34	NA	NA
chr1	100460000	100470000	chr1	100870000	100880000	GSM1267201	30	NA	NA
chr1	165390000	165400000	chr1	165590000	165600000	GSM1267201	31	NA	AL356441.1
chr1	172450000	172460000	chr1	172710000	172720000	GSM1267201	26	NA	NA
chr10	122290000	122300000	chr10	122430000	122440000	GSM1267201	24	NA	NA
chr10	22570000	22580000	chr10	22980000	22990000	GSM1267201	36	NA	NA
chr10	59230000	59240000	chr10	59580000	59590000	GSM1267201	43	NA	AC026391.1
chr10	60440000	60450000	chr10	60640000	60650000	GSM1267201	32	NA	NA
chr10	115790000	115800000	chr10	116280000	116290000	GSM1267201	28	NA	NA
chr11	117800000	117810000	chr11	118050000	118060000	GSM1267201	30	NA	NA
chr11	13950000	13960000	chr11	14250000	14260000	GSM1267201	23	NA	NA
chr11	111580000	111590000	chr11	111760000	111770000	GSM1267201	41	NA	PPP2R1B
chr11	14300000	14310000	chr11	14450000	14460000	GSM1267201	35	NA	NA
chr12	29550000	29560000	chr12	29710000	29720000	GSM1267201	30	NA	NA
chr12	12980000	12990000	chr12	13210000	13220000	GSM1267201	31	NA	NA
chr12	84880000	84890000	chr12	85030000	85040000	GSM1267201	29	NA	LRRIQ1,TSPAN19
chr12	89020000	89030000	chr12	89460000	89470000	GSM1267201	37	AC006199.1,LINC02458	NA
chr13	51430000	51440000	chr13	51790000	51800000	GSM1267201	27	NA	NA
chr13	43900000	43910000	chr13	44450000	44460000	GSM1267201	50	LINC00284	NA
