chrom1	pos1	pos2	chrom2	pos3	pos4	id	pvalue	gene_anno_1	gene_anno_2	chipseq_anno_1	chipseq_anno_2	stripe_type
chr1	8545001	8565000	chr1	8545001	8770000	GSM1267200	0.001	NA	RPL7P11	chr1:8545001-8565000	NA	ctcf
chr21	34495001	34515000	chr21	34495001	34675000	GSM1267200	0.002	KCNE1	CLIC6,KCNE1,RCAN1	chr21:34495001-34515000	NA	ctcf
chr8	97250001	97265000	chr8	96220001	97265000	GSM1267200	0.001	NA	AP003115.1,AP003117.1,AP003117.2,AP003465.1,AP003548.1,CPQ,MTERF3,PTDSS1,RF00019,RNU6-1172P,SDC2,UQCRB	chr8:97250001-97265000	NA	ctcf
chr14	73455001	73475000	chr14	73040001	73475000	GSM1267200	0.001	AC005280.1,AC005280.2,AC005280.3,NUMB	AC004846.1,AC004846.2,AC004858.1,AC005280.1,AC005280.2,AC005280.3,AL442663.2,AL442663.3,NUMB,PAPLN,PSEN1,RBM25,RN7SL586P,RNU6-419P	chr14:73455001-73475000	NA	ctcf
chr13	107340001	107360000	chr13	107220001	107360000	GSM1267200	0.001	NA	SNORD31B	chr13:107340001-107360000	NA	ctcf
chr16	72450001	72475000	chr16	72120001	72475000	GSM1267200	0.002	NA	AC004158.1,AC009075.1,AC009075.2,PMFBP1,RF00026	chr16:72450001-72475000	NA	ctcf
chr14	74280001	74300000	chr14	74095001	74300000	GSM1267200	0.001	AC005519.1	AC005519.1,AC006349.1,RN7SL530P,VSX2	chr14:74280001-74300000,chr14:74280001-74300000	NA	ctcf
chr14	32575001	32605000	chr14	32575001	33810000	GSM1267200	0.002	NA	AL049781.1,NPAS3	chr14:32575001-32605000,chr14:32575001-32605000	NA	ctcf
chr11	128620001	128645000	chr11	128020001	128645000	GSM1267200	0.001	NA	AP000904.1,ETS1,ETS1-AS1,LINC02098,MIR6090	chr11:128620001-128645000,chr11:128620001-128645000,chr11:128620001-128645000	NA	ctcf
chr13	41655001	41675000	chr13	41655001	42305000	GSM1267200	0.001	NA	AKAP11,AL157932.1,CHCHD2P11,DGKH,FHP1,KARSP1,MAPK6P3,RN7SL515P,RNU6-74P,RPS28P8,VWA8,VWA8-AS1	chr13:41655001-41675000,chr13:41655001-41675000	NA	ctcf
chr4	147850001	147870000	chr4	147605001	147870000	GSM1267200	0.001	NA	AC093835.1,ARHGAP10,MIR4799,PRMT9,RN7SL254P,RNA5SP165,TMEM184C	chr4:147850001-147870000	NA	ctcf
chr5	57480001	57500000	chr5	57310001	57500000	GSM1267200	0.001	ACTBL2	AC025470.1,AC025470.2,ACTBL2,SALL4P1	chr5:57480001-57500000	NA	ctcf
chrX	110400001	110420000	chrX	109875001	110420000	GSM1267200	0.031	NA	AMMECR1-IT1,GNG5P2,MIR3978,MIR652,RTL9,SNORD96B,TMEM164	chrX:110400001-110420000,chrX:110400001-110420000,chrX:110400001-110420000	NA	ctcf
chr17	76425001	76445000	chr17	76090001	76445000	GSM1267200	0.003	RPL7P49	AC018665.1,AC090699.1,ATF4P3,ATP5MGP6,EXOC7,FOXJ1,MIR6868,PRPSAP1,QRICH2,RF00019,RNF157,RNF157-AS1,RNU6-24P,RPL7P49,SPHK1,UBALD2	chr17:76425001-76445000	NA	ctcf
chr10	101990001	102015000	chr10	101780001	102015000	GSM1267200	0.001	NA	FGF8,KCNIP2,KCNIP2-AS1,NPM3,OGA,RF00017,RF00019	chr10:101990001-102015000	NA	ctcf
chr11	27125001	27145000	chr11	26720001	27145000	GSM1267200	0.001	NA	BBOX1,FIBIN,SLC5A12	chr11:27125001-27145000	NA	ctcf
chr3	188925001	188960000	chr3	187885001	188960000	GSM1267200	0.001	TPRG1,TPRG1-AS1	AC022498.1,AC068295.1,AC092941.1,AC092941.2,FLJ42393,LINC01991,LPP,LPP-AS1,LPP-AS2,MIR28,TPRG1,TPRG1-AS1	chr3:188925001-188960000,chr3:188925001-188960000,chr3:188925001-188960000,chr3:188925001-188960000	NA	ctcf
chr11	95495001	95515000	chr11	95160001	95515000	GSM1267200	0.001	NA	AP000787.3,AP001790.1,SESN3	chr11:95495001-95515000	NA	ctcf
chr10	53595001	53620000	chr10	53595001	54005000	GSM1267200	0.002	NA	AL365496.1	chr10:53595001-53620000	NA	ctcf
chr13	31010001	31030000	chr13	30605001	31030000	GSM1267200	0.001	NA	AL353680.1,ALOX5AP,HMGB1,LINC00398,LINC00545,LINC01066,MEDAG,RF00017,TEX26,TEX26-AS1,USPL1	chr13:31010001-31030000	NA	ctcf
chr14	75700001	75725000	chr14	75700001	76090000	GSM1267200	0.0015	NA	AC008015.1,AF107885.1,AF107885.2,IFT43,TGFB3,TGFB3-AS1	chr14:75700001-75725000,chr14:75700001-75725000	NA	ctcf
chr7	17765001	17790000	chr7	17765001	18370000	GSM1267200	0.001	NA	AC080080.1,AC080080.2,HDAC9,MIR1302-6,PRPS1L1,RNMTL1P2,SNX13	chr7:17765001-17790000	NA	ctcf
chr10	61740001	61760000	chr10	61740001	62105000	GSM1267200	0.001	NA	AC022398.1,ARID5B	chr10:61740001-61760000,chr10:61740001-61760000	NA	ctcf
chr10	28675001	28690000	chr10	28675001	28980000	GSM1267200	0.002	BAMBI	AL355376.1,AL355376.2,BAMBI,LINC00837,LINC01517,RNA5SP308,RNU6-270P,RPL21P93	chr10:28675001-28690000,chr10:28675001-28690000	NA	ctcf
chr13	48115001	48135000	chr13	48115001	48575000	GSM1267200	0.001	POLR2KP2	AL157813.1,AL392048.1,ITM2B,LINC01077,LPAR6,PCNPP5,POLR2KP2,PPP1R26P1,RB1,RB1-DT,RCBTB2,RF00017	chr13:48115001-48135000	NA	ctcf
chr13	30785001	30810000	chr13	30145001	30810000	GSM1267200	0.001	LINC00398	AL157770.1,AL161893.1,AL353648.1,AL356750.1,ALOX5AP,HMGB1,KATNAL1,LINC00384,LINC00385,LINC00398,LINC00426,LINC00427,LINC01058,MFAP1P1,PRDX2P1,PTPN2P2,RBM22P2,RF00017,RNU6-64P,UBE2L5,USPL1	chr13:30785001-30810000,chr13:30785001-30810000	NA	ctcf
chr10	99600001	99620000	chr10	99360001	99620000	GSM1267200	0.001	AL353719.1,SLC25A28	AL353719.1,AL391684.1,AL513542.1,GOT1,LINC01475,NKX2-3,SLC25A28	chr10:99600001-99620000	NA	ctcf
chr12	10150001	10170000	chr12	9690001	10170000	GSM1267200	0.002	OLR1,TMEM52B	AC007068.1,AC007068.2,AC024224.1,AC024224.2,AC091814.1,CD69,CLEC12A,CLEC12A-AS1,CLEC12B,CLEC1A,CLEC1B,CLEC2A,CLEC2B,CLEC7A,CLEC9A,CLECL1,HNRNPABP1,KLRF1,KLRF2,LINC02390,LINC02470,OLR1,RN7SKP161,TMEM52B	chr12:10150001-10170000	NA	ctcf
chrX	40055001	40075000	chrX	39645001	40075000	GSM1267200	0.0315	NA	AC091810.1,AC092198.1,AL592164.1,AL592164.2,GAPDHP1,MIR1587,MIR3937,RN7SL732P,RPS11P7	chrX:40055001-40075000	NA	ctcf
chr22	37175001	37195000	chr22	36915001	37195000	GSM1267200	0.0085	IL2RB	AL022314.1,CSF2RB,CSF2RBP1,IL2RB,KCTD17,LL22NC01-81G9.3,MPST,RF00019,RN7SKP214,TEX33,TMPRSS6,TST,Z82188.2	chr22:37175001-37195000	NA	ctcf
chr11	117790001	117810000	chr11	117790001	118095000	GSM1267200	0.006	NA	AP000757.1,AP000757.2,DSCAML1,FXYD2,FXYD6,FXYD6-FXYD2,IL10RA,RN7SL828P,SMIM35,TMPRSS13,TMPRSS4	chr11:117790001-117810000,chr11:117790001-117810000	NA	ctcf
chr3	37950001	37970000	chr3	37805001	37970000	GSM1267200	0.001	MIR26A1	CTDSPL,ITGA9-AS1,MIR26A1	chr3:37950001-37970000	NA	ctcf
chr11	86785001	86805000	chr11	86360001	86805000	GSM1267200	0.001	PRSS23	AP001148.1,AP001831.1,AP003059.1,AP003059.2,CCDC81,ME3,PRSS23,PTP4A1P6	chr11:86785001-86805000,chr11:86785001-86805000	NA	ctcf
chr6	57310001	57325000	chr6	56885001	57325000	GSM1267200	0.001	PRIM2	BAG2,BEND6,DST,FTH1P15,KIAA1586,MRPL30P1,OSTCP6,PRIM2,RAB23,RNU6-626P,ZNF451,ZNF451-AS1	chr6:57310001-57325000,chr6:57310001-57325000	NA	ctcf
chr7	107460001	107480000	chr7	107460001	107785000	GSM1267200	0.003	GPR22	AC002467.1,AC004839.1,BANF1P5,BCAP29,CBLL1,COG5,DUS4L,GPR22,RF01233,SLC26A4,SLC26A4-AS1,WBP1LP2	chr7:107460001-107480000	NA	ctcf
chr7	117655001	117670000	chr7	117345001	117670000	GSM1267200	0.001	NA	AC000061.1,AC000111.1,AC000111.2,AC003045.1,ASZ1,CFTR,CFTR-AS1	chr7:117655001-117670000	NA	ctcf
chr4	137110001	137130000	chr4	137110001	138180000	GSM1267200	0.0015	NA	AC116563.1,AC116563.2,AC131956.1,AC131956.2,LINC00616,LINC02172,LINC02510,LINC02511,PCDH18,RPS23P2,SERF1AP1,SLC7A11-AS1,STMN1P2	chr4:137110001-137130000	NA	ctcf
chr12	62775001	62795000	chr12	62380001	62795000	GSM1267200	0.001	NA	AC048341.1,AC048341.2,AC079035.1,GAPDHP44,LINC01465,MIRLET7I,MON2,RF00017,RNU6-399P,RPL32P26	chr12:62775001-62795000	NA	ctcf
chr12	49500001	49520000	chr12	49210001	49520000	GSM1267200	0.001	NA	AC010173.1,AC125611.1,AC125611.2,AC125611.3,AC125611.4,C1QL4,DNAJC22,PRPH,SPATS2,TROAP	chr12:49500001-49520000	NA	ctcf
chr14	74280001	74300000	chr14	74280001	74505000	GSM1267200	0.019	AC005519.1	ABCD4,AC005479.1,AC005479.2,AC005519.1,ISCA2,MIR4709,NPC2,RAP1AP,RPS2P2,SUB1P2,SYNDIG1L,VRTN	chr14:74280001-74300000,chr14:74280001-74300000	NA	ctcf
chr13	92710001	92735000	chr13	92710001	94380000	GSM1267200	0.006	GPC5-AS1	AL354811.1,GPC5-AS1,GPC6,GPC6-AS1,GPC6-AS2,HNRNPA1P29,LINC00363,RNA5SP35	chr13:92710001-92735000	NA	ctcf
chr1	8000001	8020000	chr1	8000001	8490000	GSM1267200	0.0035	AL034417.3	AL034417.1,AL034417.2,AL034417.3,AL096855.1,AL358876.1,AL358876.2,ERRFI1,LINC01714,RF00019,RNU1-7P,RNU6-991P,SLC45A1	chr1:8000001-8020000	NA	ctcf
chr4	77190001	77210000	chr4	76480001	77210000	GSM1267200	0.001	NA	AC104687.1,AC104687.2,AC104771.1,AC107072.1,AC107072.2,AC112249.1,CCNG2,CCNI,MIR4450,MIR548AH,RNU6-1187P,RNU6-145P,RPL7P17,SEPT11,SOWAHB,TXNP6	chr4:77190001-77210000	NA	ctcf
chr4	88805001	88825000	chr4	88805001	89105000	GSM1267200	0.001	NA	NA	chr4:88805001-88825000	NA	ctcf
chr8	115250001	115275000	chr8	115250001	115535000	GSM1267200	0.002	NA	AF178030.1	chr8:115250001-115275000	NA	ctcf
chr1	26775001	26795000	chr1	26595001	26795000	GSM1267200	0.001	PIGV	AL512408.1,AL627082.1,AL627313.1,ARID1A,PIGV,RF00019,RF01210,RN7SL679P,RNU7-29P	chr1:26775001-26795000	NA	ctcf
chr12	77710001	77730000	chr12	77710001	78065000	GSM1267200	0.001	NA	AC138331.1	chr12:77710001-77730000,chr12:77710001-77730000	NA	ctcf
chr17	67935001	67955000	chr17	67935001	68050000	GSM1267200	0.001	AC134407.1,AC134407.2	AC134407.1,AC134407.2,AC134407.3,C17orf58,KPNA2,RN7SL622P	chr17:67935001-67955000	NA	ctcf
chr7	107460001	107480000	chr7	107160001	107480000	GSM1267200	0.0025	GPR22	AC002381.1,AC004492.1,GPR22,HBP1	chr7:107460001-107480000	NA	ctcf
chr4	150130001	150150000	chr4	149930001	150150000	GSM1267200	0.001	NA	AC105343.1,DCLK2,RNU6-1230P	chr4:150130001-150150000	NA	ctcf
chr19	48965001	48995000	chr19	48615001	48995000	GSM1267200	0.034	AC026803.2,FTL,GYS1,RUVBL2	AC022154.1,AC026803.1,AC026803.2,BAX,BCAT2,CA11,DBP,DHDH,FAM83E,FGF21,FTL,FUT1,FUT2,GYS1,HSD17B14,IZUMO1,MAMSTR,NTN5,NUCB1,NUCB1-AS1,PLEKHA4,PPP1R15A,RASIP1,RNU6-317P,RPL18,RUVBL2,SEC1P,SPHK2,TULP2	chr19:48965001-48995000,chr19:48965001-48995000,chr19:48965001-48995000	NA	ctcf
chr15	99050001	99080000	chr15	98485001	99080000	GSM1267200	0.001	NA	AC069029.1,AC118658.1,FAM169B,IGF1R,IRAIN,LUNAR1,MIR4714,PGPEP1L	chr15:99050001-99080000,chr15:99050001-99080000	NA	ctcf
chr1	85890001	85910000	chr1	85680001	85910000	GSM1267200	0.003	NA	RNA5SP51,ZNHIT6	chr1:85890001-85910000	NA	ctcf
chr3	111835001	111865000	chr3	111680001	111865000	GSM1267200	0.001	NA	PHLDB2	chr3:111835001-111865000,chr3:111835001-111865000	NA	ctcf
chr11	57800001	57825000	chr11	57655001	57825000	GSM1267200	0.001	NA	AP001931.1,BTBD18,CTNND1,MED19,PPIAP42,SELENOH,TMX2,TMX2-CTNND1,ZDHHC5	chr11:57800001-57825000	NA	ctcf
chr1	240455001	240470000	chr1	240455001	240750000	GSM1267200	0.006	NA	AL358176.1,AL358176.2,AL358176.3,AL358176.4,AL358176.5,AL365184.2,GREM2,RF00019,RNU5F-8P	chr1:240455001-240470000	NA	ctcf
chr2	189440001	189470000	chr2	189440001	189800000	GSM1267200	0.002	WDR75	AC012488.1,AC013439.1,AC013468.1,ANKAR,ASNSD1,ORMDL1,OSGEPL1,OSGEPL1-AS1,PMS1,SLC40A1,WDR75	chr2:189440001-189470000	NA	ctcf
chr8	60995001	61025000	chr8	60565001	61025000	GSM1267200	0.0015	NA	AC022182.1,AC022182.2,AC022182.3,AC068389.1,AC068389.2,AC113143.1,AC113143.2,CHD7	chr8:60995001-61025000	NA	ctcf
chr2	119735001	119755000	chr2	119735001	119990000	GSM1267200	0.001	NA	PTPN4	chr2:119735001-119755000	NA	ctcf
chr17	35975001	35990000	chr17	35975001	36135000	GSM1267200	0.011	AC244100.2,CCL14,CCL16	AC243829.2,AC243829.4,AC244100.2,AC244100.3,AC244100.4,CCL14,CCL15,CCL15-CCL14,CCL16,CCL18,CCL23,CCL3,CCL4,RN7SL301P	chr17:35975001-35990000	NA	ctcf
chr1	65575001	65595000	chr1	65575001	65745000	GSM1267200	0.002	AC097063.1	AC097063.1,AL513493.1	chr1:65575001-65595000	NA	ctcf
chr12	19650001	19665000	chr12	19650001	20410000	GSM1267200	0.006	NA	AC024901.1,AC129102.1,LINC02398,LINC02468,PDE3A,RNU1-146P,TCP1P3	chr12:19650001-19665000	NA	ctcf
chr7	39815001	39840000	chr7	39695001	39840000	GSM1267200	0.003	AC004987.1,AC004987.2,AC004987.3	AC004837.2,AC004987.1,AC004987.2,AC004987.3,AC004987.4,CICP22,LINC00265,RNU6-719P	chr7:39815001-39840000	NA	ctcf
chr19	20065001	20090000	chr19	20065001	20320000	GSM1267200	0.066	AC006539.1,AC011447.5,BNIP3P13,ZNF90	AC006539.1,AC011447.1,AC011447.2,AC011447.3,AC011447.4,AC011447.5,AC011447.6,AC011447.7,AC078899.1,AC078899.3,AC078899.4,BNIP3P13,BNIP3P15,BNIP3P16,BNIP3P17,BNIP3P18,ZNF486,ZNF90	chr19:20065001-20090000	NA	ctcf
chr1	246525001	246545000	chr1	246525001	246685000	GSM1267200	0.0385	AL356583.1,AL356583.2,AL356583.3,LINC01743	AL356583.1,AL356583.2,AL356583.3,AL591623.1,AL591623.2,AL591848.3,CNST,LINC01743,TFB2M	chr1:246525001-246545000	NA	ctcf
chr4	150960001	150980000	chr4	150205001	150980000	GSM1267200	0.003	RNA5SP168	AC092612.1,AC110813.1,MAB21L2,RNA5SP168,RNU7-194P,ZBTB8OSP1	chr4:150960001-150980000,chr4:150960001-150980000	NA	ctcf
chr15	99380001	99400000	chr15	99250001	99400000	GSM1267200	0.003	AC015660.2,LINC02244	AC015660.2,AC037479.1,HNRNPA1P62,HSP90B2P,LINC02244,LRRC28,TTC23	chr15:99380001-99400000,chr15:99380001-99400000	NA	ctcf
chr18	6870001	6895000	chr18	6535001	6895000	GSM1267200	0.007	AP005210.1	AP005202.1,AP005205.1,AP005205.2,AP005205.3,AP005210.1,ARHGAP28,RN7SL282P	chr18:6870001-6895000,chr18:6870001-6895000	NA	ctcf
chr9	4985001	5005000	chr9	4985001	5100000	GSM1267200	0.013	JAK2	CSNK1G2P1,JAK2,MTATP6P11,MTCO1P11,MTCO2P11,MTCO3P11,MTND1P11,MTND6P5,PDSS1P1	chr9:4985001-5005000,chr9:4985001-5005000	NA	ctcf
chr19	6275001	6300000	chr19	6105001	6300000	GSM1267200	0.004	MLLT1	AC011444.3,AC011471.1,AC011471.2,AC011471.3,AC011471.4,ACSBG2,MLLT1,RFX2	chr19:6275001-6300000,chr19:6275001-6300000	NA	ctcf
chr11	11020001	11040000	chr11	11020001	11835000	GSM1267200	0.005	AC111188.1	AC023946.1,AC104031.1,AC111188.1,AC111188.2,AC111188.3,AC131935.1,AC131935.2,CSNK2A3,GALNT18,KC877392.1,MIR4299,MIR8070,MTND5P21	chr11:11020001-11040000,chr11:11020001-11040000,chr11:11020001-11040000	NA	ctcf
chr6	100100001	100120000	chr6	100100001	100740000	GSM1267200	0.0035	NA	AL080285.1,PRDX2P4,SIM1,Z86062.1,Z86062.2	chr6:100100001-100120000,chr6:100100001-100120000,chr6:100100001-100120000	NA	ctcf
chr12	57890001	57910000	chr12	57740001	57910000	GSM1267200	0.011	AC083805.1,AC083805.3,ATP23	AC025165.3,AC025165.4,AC025165.5,AC083805.1,AC083805.2,AC083805.3,AGAP2,ATP23,AVIL,CDK4,CTDSP2,CYP27B1,EEF1AKMT3,MARCH9,METTL1,MIR26A2,MIR6759,RNU6-1083P,TSFM,TSPAN31	chr12:57890001-57910000,chr12:57890001-57910000	NA	ctcf
chr4	176325001	176345000	chr4	175905001	176345000	GSM1267200	0.005	NA	AC019163.1,AC110794.1,ASB5,GPM6A,MARK2P4,RF00432,SPATA4,SPCS3,WDR17	chr4:176325001-176345000	NA	ctcf
chr7	88830001	88850000	chr7	88830001	88920000	GSM1267200	0.002	NA	NA	chr7:88830001-88850000	NA	ctcf
chr10	4750001	4770000	chr10	3745001	4770000	GSM1267200	0.001	NA	AC022535.1,AC025822.1,AC025822.2,AL450322.1,AL450322.2,AL513303.1,AL513303.2,KLF6,LINC00702,LINC00703,LINC00705,MANCR,MIR6078,RNU6-163P	chr10:4750001-4770000	NA	ctcf
chr1	163855001	163875000	chr1	163855001	163985000	GSM1267200	0.002	NA	RF00012	chr1:163855001-163875000	NA	ctcf
chr16	87530001	87555000	chr16	87370001	87555000	GSM1267200	0.007	NA	AC010531.3,AC092720.1,AC105429.1,AC105429.2,FBXO31,MAP1LC3B,ZCCHC14	chr16:87530001-87555000	NA	ctcf
chr6	153025001	153045000	chr6	153025001	153600000	GSM1267200	0.002	NA	AL590867.1,AL590867.2,AL590867.3,RGS17,RNA5SP224,RNA5SP225	chr6:153025001-153045000	NA	ctcf
chr17	48900001	48920000	chr17	48900001	49055000	GSM1267200	0.014	AC091133.5,SUMO2P17,UBE2Z	AC091133.1,AC091133.2,AC091133.3,AC091133.4,AC091133.5,GIP,IGF2BP1,RF00017,RF01210,RNU1-42P,RNU6-826P,SNF8,SUMO2P17,UBE2Z	chr17:48900001-48920000	NA	ctcf
chr12	95205001	95225000	chr12	95205001	95340000	GSM1267200	0.001	FGD6,VEZT	CBX3P5,FGD6,MIR331,MIR3685,RF00019,RNU6-808P,VEZT	chr12:95205001-95225000	NA	ctcf
chr3	189950001	189970000	chr3	189950001	190670000	GSM1267200	0.003	MTAPP2	AC108747.1,CLDN1,CLDN16,GCNT1P3,IL1RAP,MTAPP2,NMNAT1P3,P3H2,P3H2-AS1,RN7SKP296,RNU6-1109P,TMEM207	chr3:189950001-189970000,chr3:189950001-189970000,chr3:189950001-189970000	NA	ctcf
chr7	39880001	39900000	chr7	39880001	40185000	GSM1267200	0.01	RN7SL496P	AC006023.1,AC006023.2,AC072061.1,CDK13,MPLKIP,RF00019,RN7SL496P,SUGCT,THUMPD3P1	chr7:39880001-39900000	NA	ctcf
chr3	65325001	65345000	chr3	65325001	65485000	GSM1267200	0.012	NA	AC121493.1	chr3:65325001-65345000,chr3:65325001-65345000	NA	ctcf
chr2	39505001	39525000	chr2	39505001	39770000	GSM1267200	0.001	NA	TMEM178A	chr2:39505001-39525000	NA	ctcf
chr1	225975001	225995000	chr1	225320001	225995000	GSM1267200	0.002	NA	AC092811.1,AC092811.2,AC099066.1,AC099066.2,AC099066.3,AL117348.1,AL117348.2,AL591895.1,ENAH,EPHX1,LBR,LEFTY1,LEFTY2,MIR6741,NDUFA3P3,PYCR2,RNU6-1304P,SRP9,TMEM63A	chr1:225975001-225995000,chr1:225975001-225995000	NA	ctcf
chr20	10465001	10485000	chr20	10465001	11385000	GSM1267200	0.022	NA	AL035456.1,AL049649.1,AL050403.1,AL050403.2,AL135937.1,AL158042.1,C20orf187,FAT1P1,JAG1,LINC01752,MIR6870,RPS11P1	chr20:10465001-10485000	NA	ctcf
chr14	91275001	91295000	chr14	90795001	91295000	GSM1267200	0.010499999999999999	NA	AL135818.1,AL135818.2,DGLUCY,GPR68,LINC02321,RNU7-30P,RPS6KA5,SNORA11B,TTC7B	chr14:91275001-91295000	NA	ctcf
chr3	64455001	64475000	chr3	64075001	64475000	GSM1267200	0.002	NA	AC096888.1,LINC00994,PRDX3P4,PRICKLE2,PRICKLE2-AS1,PRICKLE2-AS2,PRICKLE2-AS3	chr3:64455001-64475000	NA	ctcf
